long_name,short_name,area,state,contact,email,url,phone,address
Town of Cary,CTRAN,Cary,NC,Mr. Benjamin Shivar (Town Manager),ben.shivar@townofcary.org,http://www.townofcary.org/,(919)469-4003,"316 North Academy Street, Cary, NC 27513"
Chapel Hill Transit,CHT,Chapel Hill,NC,Mr. Kerry Spade (Transportation Director),sspade@townofchapelhill.org,http://www.chtransit.org/,(919)969-4909,"405 Martin Luther King, Jr. Blvd., Chapel Hill, NC 27514"
Charlotte Area Transit System,CATS,Charlotte,NC,Mr. John Muth (Interim Chief Executive Officer),jmuth@ci.charlotte.nc.us,http://www.ridetransit.org/,(704)336-3373,"600 East Fourth Street, Charlotte, NC 28202"
Durham Area Transit Authority,DATA,Durham,NC,Mr. Stephen Mancuso (Transit Administrator),stephen.mancuso@durhamnc.gov,http://www.durhamnc.gov/,(919)560-1535 Ext:209,"1907 Fay Street, Durham, NC 27704"
Fayetteville Area System of Transit,FAST,Fayetteville,NC,Mr. Dale Iman (Chief Executive Officer),DIman@ci.fay.nc.us,http://fayettevilleonline.com/fast/,(910)433-1990,"455 Grove Street, Fayetteville, NC 28301"
Goldsboro-Wayne Transportation Authority,GATEWAY,Goldsboro,NC,Mr. Alan Stubbs (Executive Director/CEO),alan.stubbs@waynegov.com,http://www.ridegateway.com/,(919)736-1374,"P. O. Box 227, Goldsboro, NC 27533"
Guildford County Transportation,GCTAMS,Greensboro,NC,Ms Myra Thompson (Transportation Manager),mthomps@co.guilford.nc.us,http://www.co.guilford.nc.us/,(336)641-3094,"1203 Maple St, Rm 120, Greensboro, NC 27405"
Greensboro Transit Authority,GTA,Greensboro,NC,Ms. Elizabeth James (Public Transportation Manager),libby.james@greensboro-nc.gov,http://www.greensboro-nc.gov/,(336)373-2820,"300 East Friendly Avenue, Greensboro, NC 27402"
High Point Transit,Hi tran,High Point,NC,"Mr. Mark McDonald, P.E. (Transportation Director)",mark.mcdonald@highpointnc.gov,http://www.high-point.net/hitran,(336)883-3225,"716 West Kivett Drive, High Point, NC 27262"
Davidson County Transportation,DCTS,Lexington,NC,Mr. George Hodges (Transportation Manager Davidson County Transportation System),george.hodges@davidsoncountync.gov,http://www.co.davidson.nc.us/,(336)242-2252,"925 North Main Street, Lexington, NC 27293"
Capital Area Transit,CAT,Raleigh,NC,Mr. Scott McClellan (General Manager),Scott.Mcclellan@ci.raleigh.nc.us,http://www.raleigh-nc.org/transit,(919)833-5713,"1430 South Blount Street, Raleigh, NC 27603"
North Carolina State University Transportation Department,NCSU,Raleigh,NC,Mr. Tom Kendig (Director of Transportation),tom_kendig@ncsu.edu,http://www.ncsu.edu/transportation,(919)515-1364,"2721 Sullivan Drive CB 7221, Raleigh, NC 27695"
Research Triangle Regional Public Transportation Authority,TTA,Research Triangle Park,NC,Mrs. Saundra Freeman (Director Financial and Administrative Services),sfreeman@ridetta.org,http://www.ridetta.org/,(919)485-7415,"68 Alexander Drive, Research Triangle Park, NC 27709"
Cape Fear Public Transportation Authority,Wave,Wilmington,NC,Mr. Albert Eby (Director),aeby@wavetransit.com,http://www.wavetransit.com/,(910)202-2035,"P.O. Box 12630, Wilmington, NC 28405"
Winston-Salem Transit Authority - Trans-Aid of Forsyth County,WSTA,Winston-Salem,NC,Mr. Art Barnes (General Manager),abarnes@wstransit.com,http://www.wstransit.com/,(336)727-2648,"1060 North Trade Street, Winston-Salem, NC 27101"
Department of Transportation and Public Works,DTPW,San Juan,PR,Eng. Ruben Hernandez-Gregorat (Secretary),rahernandez@act.dtop.gov.pr,http://www.dtop.gov.pr/,(787)725-7112,"Minillas Station, San Juan, PR 00940"
Metropolitan Bus Authority,MBA,San Juan,PR,Mr. Mike O'Neill-Rosa (Chief Executive Officer),moneill@ama.gobierno.pr,http://www.dtop.gov.pr/AMA/Amahompg.htm,(787)767-0115,"San Juan, PR 00919"
Puerto Rico Highway and Transportation Authority,PRHTA,San Juan,PR,Mrs. Evelyn Colon-Berlingerie (Executive Sub Director),EColon@act.dtop.gov.pr,http://www.dtop.gov.pr/,787-729-1539,"San Juan, PR 00940"
Puerto Rico Ports Authority,PRPA,San Juan,PR,Mr. Fernando Bonilla Esquire (Executive Director),fjbonilla@prpa.gobierno.pr,http://www.prpa.gobierno.pr/,(787)729-8805,"calla limberg 64 Isla Grande, San Juan, PR 00936"
Charleston Area Regional Transportation Authority,CARTA,Charleston,SC,Mr. Howard Chapman (Executive Director),chapmanh@ci.charleston.sc.us,http://www.ridecarta.com/,(843)724-7420 Ext:4,"36 John Street, Charleston, SC 29403"
Central Midlands Regional Transit Authority,CMRTA,Columbia,SC,Ms. Mitzi Javers (CMRTA Executive Director),mitzij@goCMRTA.com,http://www.gocmrta.com/,(803)255-7133,"Columbia, SC 29201"
Waccamaw Regional Transportation Authority,The Coast RTA,Conway,SC,"Mr. Myers Rollins, Jr. (General Manager)",rollins@coastrta.com,http://www.coastrta.com/,(843)488-0865 Ext:227,"1418 Third Avenue, Conway, SC 29526"
Pee Dee Regional Transportation Authority,PDRTA,Florence,SC,Mrs. Janice Baroody ( Executive Director ),janicebaroody@pdrta.org,http://www.pdrta.org/,(843)664-5718,"313 Stadium Road, Florence, SC 29503"
Greenville Transit Authority,GTA,Greenville,SC,Mr. Carl Jackson (Director of Transportation),bwatson@greenvillesc.gov,http://www.greenvilletransit.com/,(864)467-2700,"24 Vardry Street Suite 105, Greenville, SC 29601"
Spartanburg County Transportation Services,sctsb,Spartanburg,SC,Mr. Darryl Breed (County Administrator),GBreed@SpartanburgCounty.org,http://www.spartanburgcounty.org/,(803)596-2526,"366 North Church Street Suite 700, Spartanburg, SC 29303"
Spartanburg Transit System,SPARTA,Spartanburg,SC,Mr. Marc Keenan (General Manager),mkeenan3@charter.net,http://www.spartabus.com/,(864)595-2710,"150 Airflow Drive, Spartanburg, SC 29304"
Santee Wateree Regional Transportation Authority,SWRTA,Sumter,SC,Ms. Ann August (Executive Director),aaugust@swrta.com,http://www.swrta.com/,(803)934-0396 Ext:100,"129 South Harvin Street, Sumter, SC 29151"
Chattanooga Area Regional Transportation Authority,CARTA,Chattanooga,TN,Mr. Thomas Dugan (Executive Director),tomdugan@gocarta.org,http://www.gocarta.org/,(423)629-1411,"1617 Wilcox Boulevard, Chattanooga, TN 37406"
Clarksville Transit System,CTS,Clarksville,TN,Mr. Jimmy Smith (Director),jsmith@cityofclarksville.com,http://www.cityofclarksville.com/,(931)553-2430 Ext:101,"430 Boillin Lane, Clarksville, TN 37040"
Jackson Transit Authority,JTA,Jackson,TN,Mr. Johnny Gullett (General Manager),jgullett@ridejta.com,http://www.ridejta.com/,(731)423-0200 Ext:104,"241 East Deaderick Street, Jackson, TN 38301"
Johnson City Transit System,JCT,Johnson City,TN,Ms. Eldonna Janutolo (Director),jct99@johnsoncitytransit.org,http://www.johnsoncitytransit.org/,(423)434-6260,"137 West Market Street, Johnson City, TN 37604"
Kingsport Area Transit System,K.A.T.S.,Kingsport,TN,Mr. John Campbell (City Manager),taylor@ci.kingsport.tn.us,http://www.kingsporttransit.org/,(423)229-9400,"225 West Center Street 109 Clay Street, Kingsport, TN 37660"
Knoxville Area Transit,KAT,Knoxville,TN,Mrs. Cindy McGinnis (General Manager),cmcginnis@katbus.com,http://www.katbus.com/,(865)215-7824,"1135 Magnolia Avenue, Knoxville, TN 37917"
Memphis Area Transit Authority,MATA,Memphis,TN,"Mr. William Hudson, Jr. (President/General Manager)",whudson@matatransit.com,http://www.matatransit.com/,(901)722-7111,"1370 Levee Road, Memphis, TN 38108"
Metropolitan Transit Authority,MTA,Nashville,TN,Mr. Paul Ballard (Chief Executive Officer),Paul.Ballard@Nashville.gov,http://www.nashvillemta.org/,(615)862-6262,"130 Nestor Street, Nashville, TN 37210"
Regional Transportation Authority,RTA,Nashville,TN,Mr. Paul Ballard (CEO of MTA),paul.j.ballard@nashville.gov,http://www.rtarelaxandride.com/,615-862-6262,"501 Union Street Sixth Floor, Nashville, TN 37219"
Pace - Suburban Bus Division,PACE,Arlington Heights,IL,Mr. Thomas Ross (Executive Director),t.j.ross@pacebus.com,http://www.pacebus.com/,(847)228-2301,"550 West Algonquin Road, Arlington Heights, IL 60005"
"Pace-Suburban Bus Division, ADA Paratransit Services",PACE,Arlington Heights,IL,Mr. Thomas Ross (Executive Director),t.j.ross@pacebus.com,http://www.pacebus.com/,847-228-2301,"550 West Algonquin Road, Arlington Heights, IL 60005"
Bloomington-Normal Public Transit System,B-NPTS,Bloomington,IL,Mr. Peter Weber (General Manager),pweber.peteweber@verizon.net,http://www.b-npts.com/,(309)828-9331,"104 East Oakland Avenue, Bloomington, IL 61701"
River Valley Metro Mass Transit District,RVMMTD,Bourbonnais,IL,Mr. Robert Hoffmann (Managing Director),managingdirector@rivervalleymetro.com,http://www.rivervalleymetro.com/,(815)935-1403 Ext:281,"1137 E. 5000 N. Road, Bourbonnais, IL 60914"
Chicago Transit Authority,CTA,Chicago,IL,Mr. Richard Rodriguez (President),rlrodriguez@transitchicago.com,http://www.transitchicago.com/,(312)681-5000 Ext:5000,"567 West Lake Street, Chicago, IL 60680"
Northeast Illinois Regional Commuter Railroad Corporation,Metra,Chicago,IL,Mr. Philip Pagano (Executive Director),metra1rr@metrarr.com,http://metrarail.com/,(312)322-6979,"547 West Jackson Boulevard, Chicago, IL 60661"
City of Danville/Danville Mass Transit,DMT,Danville,IL,Mr. Scott Eisenhauer (Mayor),mayor@cityofdanville.org,http://www.cityofdanville.org/,(217)431-2400,"101 North Jackson, Danville, IL 61832"
City of DeKalb,DSATS,DeKalb,IL,Mr. Mark Biernacki (City Manager),Mark.Biernacki@cityofdekalb.com,http://www.cityofdekalb.com/,(815)748-2090,"200 South Fourth Street, DeKalb, IL 60115"
Decatur Public Transit System,DPTS,Decatur,IL,Mr. Ryan McCrady (City Manager),RMcCrady@decaturil.gov,http://www.decaturil.gov/,(217)424-2801,"555 East Wood Street, Decatur, IL 62523"
Madison County Transit District,MCT,Granite City,IL,Mr. Jerry Kane (Managing Director),jkane@mct.org,http://www.mct.org/,(618)874-7433,"One Transit Way, Granite City, IL 62040"
Rock Island County Metropolitan Mass Transit District,MetroLink,Moline,IL,Mr. Jeffrey Nelson (General Manager),jnelson@qcmetrolink.com,http://www.qcmetrolink.com/,(309)788-3360 Ext:301,"1515 River Drive, Moline , IL 61265"
Pekin Municipal Bus Service,COP,Pekin,IL,Mr. Gregory Ranney (Director of Public Property),granney@ci.pekin.il.us,http://ci.pekin.il.us/,(309)478-5420,"1130 Koch Street, Pekin, IL 61554"
Greater Peoria Mass Transit District,CityLink,Peoria,IL,Mr. Thomas Lucek (General Manager),tlucek@ridecitylink.org,http://www.ridecitylink.org/,(309)679-8158,"2105 Northeast Jefferson Street, Peoria, IL 61603"
Rockford Mass Transit District,RMTD,Rockford,IL,Mr. Richard McVinnie (Executive Director),RMcVinnie@rmtd.org,http://www.rmtd.org/,(815)961-2230,"Rockford, IL 61101"
Springfield Mass Transit District,SMTD,Springfield,IL,Ms. Linda Tisdale (Managing Director),LTisdale@SMTD.ORG,http://www.smtd.org/,(217)522-6087,"928 South Ninth Street, Springfield, IL 62703"
Champaign-Urbana Mass Transit District,C-U MTD,Urbana,IL,Mr. William Volk (Managing Director),bvolk@cumtd.com,http://www.cumtd.com/,(217)384-8188,"1101 East University Avenue, Urbana, IL 61802"
City of Anderson Transportation System,CATS,Anderson,IN,Mr. Kris Ockomon (Mayor),krisockomon@cityofanderson.com,http://www.cityofanderson.com/CATS,(765)648-6000,"120 East Eighth Street 530 Baxter Road, Anderson, IN 46016"
Bloomington Public Transportation Corporation,BT,Bloomington,IN,Mr. Lew May (General Manager),mayl@bloomingtontransit.com,http://www.bloomingtontransit.com/,(812)332-5688,"130 West Grimes Lane, Bloomington, IN 47403"
Northern Indiana Commuter Transportation District,NICTD,Chesterton,IN,Mr. Gerald Hanas (General Manager),gerald.hanas@nictd.com,http://www.nictd.com/,(219)926-5744,"33 East U.S. Highway 12, Chesterton, IN 46304"
"South Lake County Community Services, Inc.",SLCCS,Crown Point,IN,Ms. Margot Sabato (Executive Director),slccs@sbcglobal.net,,(219)663-0627,"1450 E. Joliet Street Suite 202, Crown Point, IN 46307"
Northwest Indiana Community Action Corporation,NWICA,Crown Point,IN,Mr. Gary Olund (Executive Director),golund@nwi-ca.org,http://www.nwi-ca.com/,(219)794-1829,"5240 Fountain Drive, Crown Point, IN 46307"
East Chicago Transit,ECT,East Chicago,IN,Mr. Francisco Rosado Jr. (Director),FRosado@eastchicago.com,http://www.eastchicago.com/,(219)391-8465,"5400 Cline Avenue, East Chicago, IN 46312"
Metropolitan Evansville Transit System,METS,Evansville,IN,Mr. William Brodwater IV (Director),WBrodwater@evansvillegov.org,http://www.evansvillegov.org/Index.aspx?page=57,(812)435-6166 Ext:225,"601 John Street, Evansville, IN 47713"
Fort Wayne Public Transportation Corporation,Citilink,Fort Wayne,IN,Mr. Kenneth Housden (General Manager),kch@fwcitilink.com,http://www.fwcitilink.com/,(260)432-4977 Ext:240,"801 Leesburg Road, Fort Wayne, IN 46808"
Gary Public Transportation Corporation,GPTC,Gary,IN,Mr. Daryl Lampkins (General Manager),dlampkins@gptcbus.com,http://www.gptcbus.com/,(219)885-7555 Ext:213,"100 West 4th Avenue, Gary, IN 46402"
Hammond Transit System,HTS,Hammond,IN,Mr. Keith Matasovsky (Director),matasovskyk@gohammond.com,http://www.gohammond.com/,(219)853-6401,"425 Sibley Street, Hammond, IN 46320"
North Township of Lake County Dial-A-Ride,,Hammond,IN,Mr. Frank Mrvan (North Township Trustee),polgarl@ntto.net,http://www.northtownshiptrustee.com/,(219)932-2530 Ext:324,"5947 Hohman Avenue, Hammond, IN 46320"
Indianapolis and Marion County Public Transportation,IndyGo,Indianapolis,IN,Mr. Michael Terry (President and CEO),mterry@indygo.net,http://www.indygo.net/,(317)614-9310,"1501 West Washington Street, Indianapolis, IN 46222"
City of Kokomo,COK,Kokomo,IN,Mr. Gregory Goodnight (Mayor),khcgcc@aol.com,http://www.cityofkokomo.org/,(765)456-7444,"100 South Union Street, Kokomo, IN 46901"
Greater Lafayette Public Transportation Corporation,CityBus,Lafayette,IN,Mr. Martin Sennett (General Manager),msennett@gocitybus.com,http://www.gocitybus.com/,(765)423-2666 Ext:203,"1250 Canal Road, Lafayette, IN 47902"
Muncie Indiana Transit System,MITS,Muncie,IN,Mr. Larry King (General Manager),lking@mitsbus.org,http://www.mitsbus.org/,(765)282-2762 Ext:206,"1300 East Seymour Street, Muncie, IN 47302"
Michiana Area Council of Governments,MACOG,South Bend,IN,Ms. Sandra Seanor (Executive Director),sseanor@macog.com,http://www.macog.com/,(574)287-1829 Ext:234,"227 West Jefferson Boulevard County-City Building, Room 1120, South Bend, IN 46601"
South Bend Public Transportation Corporation,Transpo,South Bend,IN,Mr. William Brown (General Manager),wbrown@sbtranspo.com,http://www.sbtranspo.com/,(574)239-2307,"901 East Northside Boulevard, South Bend, IN 46617"
Terre Haute Transit Utility,THTU,Terre Haute,IN,Mr. Duke Bennett (Mayor),duke.bennett@terrhaute.in.gov,http://www.terrehaute.in.gov/,(812)232-9467,"901 South 14th Street, Terre Haute, IN 47807"
"Opportunity Enterprises, Inc.",OE,Valparaiso,IN,Mr. Gary Mitchell (President/CEO),gary.mitchell@oppent.org,http://www.oppent.org/,(219)464-9621 Ext:236,"2801 Evans Avenue, Valparaiso, IN 46383"
"Porter County Aging and Community Services, Inc.",PCACS,Valparaiso,IN,Mr Bruce Lindner (Executive Director),bhlindner@verizon.net,http://www.portercountyacs.org/,(219)465-7144,"1005 Campbell, Valparaiso, IN 46385"
Ann Arbor Transportation Authority,AATA,Ann Arbor,MI,Ms. Dawn Gabay (Executive Director),dgabay@aata.org,http://www.aata.org/,(734)973-6500,"2700 South Industrial Highway, Ann Arbor, MI 48104"
University of Michigan Parking and Transportation Services,UMTS,Ann Arbor,MI,Mr. Timothy Slottow (Chief Financial Officer),tslottow@umich.edu,http://www.pts.umich.edu/,(734)764-7270,"777 North University Campus Box 1611, Ann Arbor, MI 48104"
Battle Creek Transit,BCT,Battle Creek,MI,Mr. Ken Tsuchiyama ( City Manager),khtsuchiyama@ci.battle-creek.mi. us,http://www.battlecreektransit.com/,(269)966-3378,"339 West Michigan, Battle Creek, MI 49017"
Bay Metropolitan Transit Authority,Bay Metro,Bay City,MI,Mr. Michael Stoner (General Manager),mstoner@baymetro.com,http://www.baymetro.com/,(989)894-2900 Ext:1213,"1510 North Johnson Street, Bay City, MI 48708"
Twin Cities Area Transportation Authority,TCATA,Benton Harbor,MI,Mr. Billy Purvis (Executive Director),purvisb@tcata.net,,(269)927-2268,"275 East Wall Street, Benton Harbor, MI 49022"
City of Detroit Department of Transportation,DDOT,Detroit,MI,Ms. Lovevett Williams (Interim Director),lo7951@sbcglobal.net,http://www.ci.detroit.mi.us/DDOT,(313)833-7666,"1301 East Warren, Detroit, MI 48207"
Detroit Transportation Corporation,Detroit People Mover,Detroit,MI,Ms. Barbara Hansen (General Manager),BHansen@thepeoplemover.com,http://www.thepeoplemover.com/,(313)224-2190,"1420 Washington Boulevard Third Floor, Detroit, MI 48226"
Suburban Mobility Authority for Regional Transportation,SMART,Detroit,MI,Mr. Steve Brown (Interim General Manager),sbrown@smartbus.org,http://www.smartbus.org/,(313)223-2108,"535 Griswold Suite 600, Detroit, MI 48226"
Mass Transportation Authority,MTA,Flint,MI,Mr. Robert Foy (General Manager),rfoy@mtaflint.org,http://www.mtaflint.org/,(810)780-8813,"1401 South Dort Highway, Flint, MI 48503"
City of Grand Haven Harbor Transit,,Grand Haven,MI,Mr. Tom Manderscheid (Transportation Director),tmanderscheid@grandhaven.org,http://www.grandhaven.org/Grand-Haven-City-Hall/departments/harbor-transit,(616)842-3220,"440 North Ferry Street, Grand Haven, MI 49417"
Interurban Transit Partnership,The Rapid,Grand Rapids,MI,Mr. Peter Varga (CEO),pvarga@ridetherapid.org,http://www.ridetherapid.org/,(616)456-7514 Ext:1157,"300 Ellsworth Avenue, S.W., Grand Rapids, MI 49503"
City of Holland Macatawa Area Express,MAX,Holland,MI,Ms. Jodi Syens (Director of Transportation Services),j.syens@cityofholland.com,http://www.cityofholland.com/,(616)928-2400,"City Hall 270 South River Avenue, Holland, MI 49423"
Livingston Essential Transportation Service,LETS,Howell,MI,Mr. Douglas Britz (Director),dbritz@co.livingston.mi.us,http://www.co.livingston.mi.us/LETS,(517)540-7847,"3950 W. Grand River Avenue, Howell, MI 48855"
City of Jackson Transportation Authority,JTA,Jackson,MI,Mr. Cameron McCollum (General Manager),cameron.mccollum@jacksontransit.com,http://www.jacksontransit.com/,(517)787-8363,"2350 East High Street, Jackson, MI 49203"
Kalamazoo Metro Transit System,Metro Transit,Kalamazoo,MI,Mr. William Schomisch (Director of Public Transportation),schomischw@kalamazoocity.org,http://www.kalamazoocity.org/,(269)337-8407,"530 North Rose Street, Kalamazoo, MI 49007"
Capital Area Transportation Authority,CATA,Lansing,MI,Ms. Sandra Draggoo (Executive Director),sdraggoo@cata.org,http://www.cata.org/,(517)394-1100,"4615 Tranter Avenue, Lansing, MI 48910"
Muskegon Area Transit System,MATS,Muskegon Heights,MI,Mr. James Elwell (Interim Administrator),elwellja@co.muskegon.mi.us,http://www.matsbus.com/,(231)724-6504,"2624 Sixth Street, Muskegon Heights, MI 49444"
Niles Dial-A-Ride,DART,Niles,MI,Mr. Michael McCauslin (Mayor),snaugle@nilesmi.org,http://http//www.ci.niles.mi.us/DeptsAndServices/NilesDialARide/DialARide.htm,(269)683-4700,"623 North Second Street, Niles, MI 49120"
Blue Water Area Transportation Commission,Blue Water Area Transit,Port Huron,MI,Mr. Jim Wilson (General Manager),jwilson@bwbus.com,http://www.bwbus.com/,(810)987-7373 Ext:103,"2021 Lapeer Avenue, Port Huron, MI 48060"
Saginaw Transit Authority Regional Service,STARS,Saginaw,MI,Mr. Sylvester Payne (General Manager/CEO),spayne@saginaw-stars.com,http://www.saginaw-stars.com/,(989)907-4000 Ext:207,"615 Johnson Street 301 East Genesee, Suite 100, Saginaw, MI 48607"
Clinton Area Transit System,Clinton Transit,St. Johns,MI,Mrs. Rose May Mason (General Manager),generalmanager@clintontransit.com,,(989)224-3161,"304 N. Brush St., St. Johns, MI 48879"
Duluth Transit Authority,DTA,Duluth,MN,Mr. Dennis Jensen (General Manager),djensen@duluthtransit.com,http://www.duluthtransit.com/,(218)722-4426 Ext:306,"2402 West Michigan Street, Duluth, MN 55806"
Metro Transit,,Minneapolis,MN,Mr. Brian Lamb (General Manager),brian.lamb@metc.state.mn.us,http://www.metrotransit.org/,(612)349-7510,"560 Sixth Avenue, North, Minneapolis, MN 55411"
City of Moorhead Transit,MAT,Moorhead,MN,Mr. Michael Redlinger (City Manager),michael.redlinger@ci.moorhead.mn.us,http://www.ci.moorhead.mn.us/,(218)299-5305,"500 Center Avenue, Moorhead, MN 56561"
City of Rochester Public Transportation,,Rochester,MN,Mr. Ardell Brede (Mayor),abrede@rochestermn.gov,http://www.rochestermn.gov/,507-328-2700,"201 4th Street, S.E. Room 108, Rochester, MN 55904"
St. Cloud Metropolitan Transit Commission,Metro Bus,St. Cloud,MN,Mr. David Tripp (Executive Director),dtripp@stcloudmtc.com,http://www.stcloudmtc.com/,(320)529-4482,"665 Franklin Avenue, N.E., St. Cloud, MN 56304"
Metro Mobility,,St. Paul,MN,Mr. Tom Weaver (Regional Administrator),tom.weaver@metc.state.mn.us,http://www.metrocouncil.org/,(651)602-1723,"Metropolitan Council 390 North Robert Street, St. Paul, MN 55101"
Metropolitan Council,,St. Paul,MN,Mr. Tom Weaver (Regional Administrator),tom.weaver@metc.state.mn.us,http://www.metrocouncil.org/,(651)602-1723,"390 Robert St N, St. Paul, MN 55101"
Metro Regional Transit Authority,Metro,Akron,OH,Mr. Robert Pfaff (Executive Director/Secretary-Treasurer),robert.pfaff@akronmetro.org,http://www.akronmetro.org/,(330)762-7267 Ext:3100,"416 Kenmore Boulevard, Akron, OH 44301"
Clermont Transportation Connection,CTC,Batavia,OH,Mr. Benjamin Capelle (Director),bcapelle@co.clermont.oh.us,http://http//ctc.clermontcountyohio.gov/,(513)732-7577,"4003 Filager Road, Batavia, OH 45103"
Brunswick Transit Alternative,BTA,Brunswick,OH,Mr. Robert Zienkowski (City Manager),Zienkowski@brunswick.oh.us,http://www.brunswick.oh.us/,(330)225-9144,"4095 Center Road, Brunswick, OH 44212"
Stark Area Regional Transit Authority,SARTA,Canton,OH,Mr. Thomas Bernabei (Executive Director),tbernabei@sartaonline.com,http://www.sartaonline.com/,(330)454-6132 Ext:522,"1600 Gateway Boulevard, S.E., Canton, OH 44707"
Southwest Ohio Regional Transit Authority,SORTA / Metro,Cincinnati,OH,Ms. Marilyn Shazor (Chief Executive Officer/General Manager),mshazor@go-metro.com,http://www.go-metro.com/,(513)632-7510,"602 Main Street Suite 1100, Cincinnati, OH 45202"
The Greater Cleveland Regional Transit Authority,GCRTA,Cleveland,OH,Mr. Joseph Calabrese (CEO-Gen. Manager/Sec. Treasurer),jcalabrese@gcrta.org,http://www.riderta.com/,(216)566-5218,"1240 West 6th Street, Cleveland, OH 44113"
Central Ohio Transit Authority,COTA,Columbus,OH,Mr. William Lhota (President and CEO),lhotawj@cota.com,http://www.cota.com/,(614)275-5850,"1600 McKinley Avenue, Columbus, OH 43222"
Greater Dayton Regional Transit Authority,GDRTA,Dayton,OH,Mr. Mark Donaghy (Executive Director),mdonaghy@greaterdaytonrta.org,http://www.greaterdaytonrta.org/,(937)425-8390,"4 South Main Street, Dayton, OH 45402"
Lorain County Transit,LCT,Elyria,OH,Mr. Richard Enty (Interim General Manager),lctdirector@loraincounty.us,http://www.loraincounty.us/,440-328-2493,"226 Middle Avenue, Elyria, OH 44035"
Laketran,,Grand River,OH,Mr. Raymond Jurkowski (General Manager),rjurkowski@laketran.com,http://www.laketran.com/,(440)350-1000,"555 Lake Shore Blvd, Grand River, OH 44045"
Butler County Regional Transit Authority,BCRTA,Hamilton,OH,Ms. Carla Lakatos (Executive Director),lakatoscl@butlercountyohio.org,http://www.butlercountyshuttle.org/,(513)785-5226,"3045 Moser Court Hamilton Enterprise Park, Hamilton, OH 45011"
Portage Area Regional Transportation Authority,PARTA,Kent,OH,"Mr. John Drew, Jr. (General Manager)",jdrew@partaonline.org,http://www.partaonline.org/,(330)678-7745 Ext:115,"2000 Summit Road, Kent, OH 44240"
Richland County Transit,RCT,Mansfield,OH,Ms. Kathy Adams (Fiscal Officer),kadams@rcrpc.org,http://www.rcrpc.org/RCT/routes.html,(419)774-6396,"35 North Park Street, Mansfield, OH 44902"
City of Middletown - Middletown Transit System,MTS,Middletown,OH,Ms. Judy Gilleland (City Manager),judyg@cityofmiddletown.org,http://www.cityofmiddletown.org/,(513)425-7836,"One Donham Plaza, Middletown, OH 45042"
Licking County Transit Board,LCTB,Newark,OH,Mr Timothy Bubb (Chairman),tbubb@lcounty.com,http://www.lcounty.com/,(740)670-5118,"763 East Main Street, Newark, OH 43055"
City of Newark Transit Operations,,Newark,OH,"Mr. Bob Diebold (Mayor, City of Newark)",bdiebold@newarkohio.net,http://www.earthworkstransit.org/,(740)670-7510,"40 West Main Street First Floor, Newark, OH 43055"
Sandusky Transit System,STS,Sandusky,OH,Ms. Carrie Handy (Chief Planner),chandy@ci.sandusky.oh.us,http://www.ci.sandusky.oh.us/,(419)627-5873,"City of Sandusky 222 Meigs Street, Sandusky, OH 44870"
Springfield City Area Transit,SCAT,Springfield,OH,Mr. James Bodenmiller (City Manager),jbodenmiller@ci.springfield.oh.us,http://www.scatrideline.com/,937-327-7700,"100 Jefferson Street, Springfield, OH 45501"
Steel Valley Regional Transit Authority,Steel Valley RTA,Steubenville,OH,Mr. Frank Bovina (Transit Manager),fbovina@sbcglobal.net,http://www.bhjmpc.org/Transportation/Transit/svrta.htm,(740)282-6145,"555 Adams Street, Steubenville, OH 43952"
Toledo Area Regional Transit Authority,TARTA,Toledo,OH,Mr. James Gee (General Manager),jgee@tarta.com,http://www.tarta.com/,(419)245-5222 Ext:222,"1127 West Central Avenue, Toledo, OH 43697"
Miami County Public Transit,MCPT,Troy,OH,Ms. Elaine Carter (Transit Director),ecarter@co.miami.oh.us,http://co.miami.oh.us/,937-440-3552,"510 West Water Street Suite 150, Troy, OH 45373"
Greene County Transit Board,Greene CATS,Xenia,OH,Mr. Richard Schultze (Executive Director),rschultze@co.greene.oh.us,http://www.co.greene.oh.us/greenecats,(937)562-6463,"571 Ledbetter Rd., Xenia, OH 45385"
Western Reserve Transit Authority,WRTA,Youngstown,OH,Mr. James Ferraro (Executive Director),jferraro@wrtaonline.com,http://www.wrtaonline.com/,(330)744-8431 Ext:109,"604 Mahoning Avenue, Youngstown, OH 44502"
City of Appleton - Valley Transit,,Appleton,WI,Ms. Deborah Wetter (General Manager),deborah.wetter@appleton.org,http://www.appleton.org/vt,(920)832-2291,"801 S.Whitman Avenue, Appleton, WI 54914"
City of Beloit Transit System,BTS,Beloit,WI,Mr. Larry Arft (City Manager),presnyl@ci.beloit.wi.us,http://www.beloittransit.com/,(608)364-6616,"1225 Willowbrook Road, Beloit, WI 53511"
Chippewa Falls General Public Shared-Ride Taxi System,CFTN,Chippewa Falls,WI,Mr. Jayson Smith (Transit Manager),jsmith@chippewafalls-wi.gov,http://www.chippewafalls-wi.gov/,(715)726-2729,"30 West Central Street, Chippewa Falls, WI 54729"
Eau Claire Transit,ECT,Eau Claire,WI,Mr. Mike Huggins (City Manager),gvandenh@ci.eau-claire.wi.us,http://www.ci.eau-claire.wi.us/,(715)839-5111,"910 Forest Street, Eau Claire, WI 54703"
